TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xinit,starts the graphical server
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,calcurse,is a lightweight terminal-based calendar
,compton,for transparency and removing screen-tearing
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,i3blocks,is the status bar
,i3lock,is the screen lock
,mpd,is a lightweight music daemon
,mpc,is a terminal interface for mpd
,mpv,is the patrician's choice video/gif player
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pamixer,is a terminal audio control interface
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
A,sc-im,is an Excel-like terminal spreadsheet manager
A,htop-vim-git,provides system usage information and displays processes
,tmux,is a terminal multiplexer and the dropdown window in LARBS
A,unclutter-xfixes-git,hides an inactive mouse
,unrar,extracts rar's
,unzip,unzips zips
A,urlview,parses URLs in the terminal allowing keyboard-based selection
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser
,zathura,is a pdf viewer with vim-like bindings
,zathura-djvu,gives zathura the ability to read .djvu files
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger
A,task-spooler,queues commands or files for download
,zsh,z-shell
,rofi,rofi menu
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
,atool,manages and gives information about archives
,fzf,is a fuzzy finder tool
,highlight,can highlight code output
,cmake,cmake
,gpgme,gpgme
G,https://github.com/neomutt/neomutt.git,neomutt email
G,https://github.com/ipython/ipython,ipython
G,https://github.com/honza/base16-st,base16
G,https://github.com/CGAL/cgal,cgal
G,https://github.com/qutebrowser/qutebrowser.git,cute
G,https://github.com/Kitware/ParaView.git,paraview
G,git://git.suckless.org/st,st terminal
G,https://github.com/signalapp/Signal-Desktop.git, Signal
G,https://git.llvm.org/git/llvm.git/, LLVM
G,https://git.llvm.org/git/clang.git/, LLVM
G,https://git.llvm.org/git/compiler-rt.git/, LLVM
G,https://git.llvm.org/git/openmp.git/, LLVM
G,https://git.llvm.org/git/libcxx.git/, LLVM
G,https://git.llvm.org/git/libcxxabi.git/, LLVM

